male,drink,gpa,malegpa
0,18,3,0
1,28,2.799999952316284,2.799999952316284
1,29,2.569999933242798,2.569999933242798
1,15,2.5,2.5
1,29,1.7000000476837158,1.7000000476837158
0,27,2.3299999237060547,0
1,22,3.299999952316284,3.299999952316284
0,29,3.200000047683716,0
0,19,2,0
1,33,3.1600000858306885,3.1600000858306885
1,20,2.799999952316284,2.799999952316284
1,18,2.299999952316284,2.299999952316284
0,15,1.9500000476837158,0
0,16,3,0
1,25,2.4000000953674316,2.4000000953674316
1,25,3,3
0,22,2.700000047683716,0
1,29,2.0999999046325684,2.0999999046325684
0,17,3.380000114440918,0
1,14,2.25,2.25
0,5,3.4000000953674316,0
0,16,2.700000047683716,0
0,18,2.799999952316284,0
0,22,2.8299999237060547,0
1,26,2.700000047683716,2.700000047683716
0,22,3.1600000858306885,0
1,25,2.200000047683716,2.200000047683716
0,22,2.9000000953674316,0
0,13,2.9000000953674316,0
1,31,NA,NA
0,26,2.5999999046325684,0
0,27,2.3499999046325684,0
0,14,3.549999952316284,0
0,10,2.5,0
1,23,2.5999999046325684,2.5999999046325684
0,23,2.8299999237060547,0
1,12,2.950000047683716,2.950000047683716
0,10,3.4700000286102295,0
1,21,2.299999952316284,2.299999952316284
0,12,3.2699999809265137,0
0,14,NA,NA
1,14,2.299999952316284,2.299999952316284
0,23,3.0999999046325684,0
1,27,2.9600000381469727,2.9600000381469727
1,32,2.0999999046325684,2.0999999046325684
1,14,2,2
0,8,2.700000047683716,0
1,22,2.7100000381469727,2.7100000381469727
0,12,2.5,0
1,18,3,3
0,24,3,0
1,18,2.950000047683716,2.950000047683716
1,12,2.5,2.5
1,12,3.0999999046325684,3.0999999046325684
0,16,2.200000047683716,0
1,19,2.9000000953674316,2.9000000953674316
1,32,2.450000047683716,2.450000047683716
1,14,2.700000047683716,2.700000047683716
0,27,2.3399999141693115,0
1,11,2.8499999046325684,2.8499999046325684
0,20,2.5,0
1,26,3.3499999046325684,3.3499999046325684
0,28,2.2699999809265137,0
0,20,2.299999952316284,0
1,20,2.049999952316284,2.049999952316284
0,20,2.4000000953674316,0
0,19,3.0999999046325684,0
1,27,2.5,2.5
0,18,3,0
1,19,3,3
0,16,2.9000000953674316,0
0,8,3.3299999237060547,0
0,11,3.200000047683716,0
0,17,2.7100000381469727,0
1,22,2.700000047683716,2.700000047683716
0,25,2.5,0
1,17,3.25,3.25
1,15,2,2
1,31,NA,NA
0,12,2.700000047683716,0
1,28,3,3
0,25,3.240000009536743,0
0,25,2.5999999046325684,0
1,26,3.6700000762939453,3.6700000762939453
1,13,2.5299999713897705,2.5299999713897705
1,18,3.299999952316284,3.299999952316284
0,19,3.25,0
1,28,3.200000047683716,3.200000047683716
0,20,3.0799999237060547,0
1,20,2.5999999046325684,2.5999999046325684
0,19,2.9000000953674316,0
0,20,2.5,0
1,27,2.700000047683716,2.700000047683716
0,5,4,0
0,22,3.4000000953674316,0
1,15,3.569999933242798,3.569999933242798
1,31,2.0799999237060547,2.0799999237060547
0,24,2.630000114440918,0
0,22,3,0
0,11,2.700000047683716,0
0,19,2.5999999046325684,0
1,25,2.450000047683716,2.450000047683716
1,24,2.700000047683716,2.700000047683716
0,20,3.200000047683716,0
1,24,2.890000104904175,2.890000104904175
0,17,3,0
1,15,2.4000000953674316,2.4000000953674316
0,22,2.299999952316284,0
0,15,3.200000047683716,0
0,15,3.6600000858306885,0
1,16,3.4000000953674316,3.4000000953674316
0,19,3.0999999046325684,0
1,29,3.25,3.25
1,24,2.4000000953674316,2.4000000953674316
0,29,2.240000009536743,0
0,5,3.0199999809265137,0
1,8,3.0999999046325684,3.0999999046325684
1,29,2.3299999237060547,2.3299999237060547
0,24,2.950000047683716,0
0,17,2.75,0
0,21,2.5999999046325684,0
0,14,3.119999885559082,0
0,15,3.9000000953674316,0
0,4,2.7799999713897705,0
0,22,3.559999942779541,0
1,21,2.4000000953674316,2.4000000953674316
0,15,3,0
0,7,2.640000104904175,0
1,24,2.0899999141693115,2.0899999141693115
0,16,3,0
0,8,2.7799999713897705,0
1,29,3.1500000953674316,3.1500000953674316
1,15,2.9700000286102295,2.9700000286102295
1,26,3.1500000953674316,3.1500000953674316
0,8,2.799999952316284,0
0,20,2.5999999046325684,0
0,8,3.5999999046325684,0
