Price,brand,ram_gb,Touchscreen
70990,Lenovo,16,No
58990,ASUS,16,Yes
57500,Lenovo,8,No
79990,DELL,8,Yes
56541,MSI,8,No
59990,ASUS,16,No
64990,Lenovo,16,No
61290,DELL,8,No
54990,Lenovo,8,No
59990,Lenovo,8,No
84990,ASUS,8,No
72500,HP,8,No
59990,Lenovo,8,No
87990,Lenovo,8,Yes
57990,HP,8,No
69490,DELL,8,No
68990,Lenovo,8,Yes
77990,Lenovo,8,No
105990,ASUS,8,Yes
79990,MSI,8,No
55490,DELL,8,No
69990,Lenovo,8,No
84990,ASUS,8,Yes
59990,DELL,8,No
111890,DELL,8,No
65990,DELL,8,No
72990,ASUS,8,No
71090,DELL,8,No
74990,MSI,8,No
79990,ASUS,8,No
55490,MSI,8,No
66490,DELL,8,No
53400,ASUS,8,No
74500,DELL,8,Yes
114990,DELL,8,No
61990,DELL,8,No
159990,APPLE,8,No
172090,APPLE,8,No
74990,MSI,8,No
56490,MSI,8,No
147000,Lenovo,8,No
55990,Lenovo,8,No
77990,HP,8,No
106490,HP,8,No
70990,Lenovo,8,No
64990,Lenovo,8,No
57990,acer,8,No
64990,ASUS,8,No
54990,MSI,8,No
111999,HP,8,Yes
70798,Lenovo,8,No
59990,Lenovo,8,No
99500,acer,8,No
55990,HP,8,No
72990,ASUS,8,No
64990,acer,8,No
57990,ASUS,8,No
76990,HP,8,Yes
62998,Lenovo,8,No
77990,DELL,8,Yes
114990,HP,8,Yes
65990,DELL,8,No
88990,DELL,8,No
113590,Lenovo,8,No
73990,ASUS,8,Yes
61000,HP,8,No
99990,ASUS,8,Yes
67990,Lenovo,8,No
70799,DELL,8,Yes
65990,Lenovo,8,No
53690,ASUS,8,No
55990,MSI,8,No
53190,ASUS,8,No
58999,Lenovo,8,No
71990,DELL,8,No
82000,HP,8,No
84990,ASUS,8,No
89998,Lenovo,8,No
99990,ASUS,8,Yes
84990,ASUS,8,No
69899,Lenovo,8,No
79990,DELL,8,No
76300,DELL,8,No
55999,Lenovo,8,No
72900,DELL,8,No
73990,DELL,8,Yes
84990,ASUS,8,No
73519,DELL,8,No
126000,HP,8,Yes
88990,ASUS,8,No
114999,HP,8,Yes
82990,DELL,8,Yes
109999,acer,8,Yes
82990,Lenovo,8,Yes
79990,DELL,8,Yes
114990,ASUS,8,Yes
129999,HP,8,Yes
149990,MSI,8,No
71290,DELL,8,No
79500,DELL,8,No
82990,DELL,8,No
70980,DELL,8,No
99990,ASUS,8,Yes
94000,HP,8,No
82990,DELL,8,Yes
79990,MSI,8,No
85990,ASUS,8,No
86990,ASUS,8,No
105990,ASUS,8,No
84990,ASUS,8,No
59999,Lenovo,8,No
91999,Lenovo,8,No
78900,DELL,8,Yes
132790,ASUS,8,No
60990,Lenovo,8,No
65556,Avita,8,No
70190,DELL,16,No
79590,DELL,8,Yes
65556,Avita,8,No
76990,ASUS,8,No
65556,Avita,8,No
44990,Avita,8,No
84990,ASUS,8,Yes
86999,Lenovo,8,Yes
78000,HP,16,No
73063,Avita,8,No
73063,Avita,8,No
100990,HP,16,No
74990,Lenovo,8,No
75990,ASUS,8,No
84086,Lenovo,8,No
75990,ASUS,8,No
77990,ASUS,8,No
77990,ASUS,8,No
179990,APPLE,16,No
179990,APPLE,16,No
82990,ASUS,8,No
87990,ASUS,8,No
84500,ASUS,8,No
74190,DELL,8,No
64990,Lenovo,8,No
155411,Lenovo,8,Yes
125394,Lenovo,8,Yes
49990,acer,8,No
46990,acer,8,No
48990,DELL,8,No
59999,acer,8,No
46990,ASUS,8,No
52990,MSI,8,No
57999,Lenovo,8,No
52490,Lenovo,8,No
56990,Lenovo,8,No
61990,acer,8,No
58090,DELL,8,No
56990,ASUS,8,No
61597,acer,8,No
81990,ASUS,8,No
61249,ASUS,8,No
58990,DELL,8,No
83990,ASUS,8,No
291190,MSI,8,No
145990,MSI,8,No
179990,MSI,8,No
64990,HP,8,No
46790,HP,8,No
44599,HP,4,No
72964,acer,8,No
48790,HP,8,No
56491,acer,8,No
50990,ASUS,8,No
55990,ASUS,8,No
57990,acer,8,No
52990,ASUS,8,No
57990,DELL,8,No
56990,acer,8,No
55490,acer,8,No
62490,DELL,8,No
64990,ASUS,16,No
59990,Lenovo,8,No
60190,ASUS,8,No
54490,ASUS,8,No
60990,Lenovo,8,No
55790,DELL,4,No
64990,ASUS,16,No
58990,ASUS,16,No
54990,DELL,8,No
71990,HP,8,No
69900,DELL,8,No
65990,Lenovo,8,No
49990,ASUS,8,No
58990,DELL,8,No
74590,Lenovo,8,No
58990,ASUS,8,No
64990,ASUS,8,No
66490,DELL,8,No
77900,DELL,8,No
67490,DELL,8,No
61990,DELL,8,No
58990,DELL,8,No
74999,Lenovo,8,No
68900,ASUS,8,No
71695,DELL,8,No
62490,acer,16,No
62317,DELL,8,No
207290,MSI,8,No
87990,DELL,16,No
73990,Avita,8,No
73990,Avita,8,No
73990,Avita,8,No
73990,Avita,8,No
73990,Avita,8,No
73990,Avita,8,No
57990,ASUS,16,No
61990,ASUS,8,No
79990,MSI,16,No
68990,Lenovo,8,No
85990,Lenovo,16,Yes
99990,Lenovo,16,No
77990,ASUS,8,No
79990,Lenovo,8,No
93190,HP,16,No
94990,ASUS,16,No
84990,Lenovo,16,Yes
57990,MSI,8,No
102990,HP,16,Yes
99990,DELL,16,No
94990,ASUS,16,No
104000,HP,16,Yes
76990,MSI,16,No
90190,HP,16,No
88488,Lenovo,16,Yes
109990,MSI,16,No
86990,MSI,16,No
89990,MSI,16,No
239759,HP,16,Yes
78990,ASUS,16,No
121890,DELL,16,No
85990,ASUS,16,No
94990,MSI,16,No
92000,HP,16,No
162990,HP,16,Yes
135300,DELL,16,No
64990,MSI,16,No
174527,Lenovo,16,No
162299,Lenovo,16,No
109190,DELL,16,Yes
99999,HP,16,Yes
104990,MSI,16,No
109990,ASUS,16,Yes
99990,ASUS,16,No
244801,Lenovo,16,No
