Source,Group,SubGroup,Cost,Amount,ID,Chapter,Name,Description,Alanine,Alpha-carotene,Alpha-tocopherol,Arginine,Asparagine,Aspartic acid,Available carbohydrate by difference,Beta-carotene,Beta-carotene equivalents,Beta-tocopherol,Beta-tocopherol + Gamma-tocopherol,Biotin,Boron,Cadmium,Calcium,Chloride,Cholecalciferol (Vitamin D3),Cholesterol,Chromium,Cobalt,Copper,Cystine,Delta-tocopherol,Dietary folate equivalents,"Disaccharides, total",Dry matter,Edible portion,"Energy, total metabolisable (kcal)","Energy, total metabolisable (kcal, including dietary fibre)","Energy, total metabolisable (kJ)","Energy, total metabolisable (kJ, including dietary fibre)",Ergocalciferol (Vitamin D2),"Fat, total",Fatty acid 18:3 omega-3,Fatty acid 20:5 omega-3,Fatty acid 22:5 omega-3,Fatty acid 22:6 omega-3,"Fatty acid cis,cis 18:2 omega-6","Fatty acids, total","Fatty acids, total long chain polyunsaturated omega-3","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total polyunsaturated omega-3","Fatty acids, total saturated","Fatty acids, total trans","Fibre, total dietary","Fibre, water-insoluble","Fibre, water-soluble",Fluoride,"Folate food, naturally occurring food folates","Folate, total","Folic acid, synthetic folic acid",Fructose,Gamma-tocopherol,Glucose,Glutamic acid,Glycine,Glycogen,Histidine,Hydroxyproline,Iodide,Iron,Isoleucine,Lactic acid (grams),Lactose,Lead,Leucine,Lithium,Lutein,Lycopene,Lysine,Magnesium,Malic acid (grams),Maltodextrin,Maltose,Manganese,Mercury,Methionine,Molybdenum,"Monosaccharides, total",Niacin equivalents from tryptophan,"Niacin equivalents, total","Niacin, preformed",Nickel,"Nitrogen, total",Nitrogen-to-protein conversion factor,"Organic acids, total (grams)",Oxalic acid (grams),Pantothenic acid,Phenylalanine,Phosphorus,"Phytosterols, total","Polysaccharides, non-starch","Polysaccharides, non-starch, water-insoluble","Polysaccharides, non-starch, water-soluble",Potassium,Proline,"Protein, total; calculated from total nitrogen","Proximates, total",Quinic acid (grams),Retinol,Riboflavin,Rubidium,Selenium,Serine,Silicon (acid soluble),Sodium,"Starch, resistant","Starch, total",Succinic acid (grams),Sucrose,"Sugar, added","Sugar, free","Sugars, total",Sulphur,Taurine,Thiamin,Threonine,Tin,Total carbohydrate by difference,Total carbohydrates by summation,Total fat-to-total fatty acids conversion factor,Tryptophan,Tyrosine,Valine,Vanadium,"Vitamin A, retinol activity equivalents","Vitamin A, retinol equivalents",Vitamin B12,Vitamin B6,Vitamin C,Vitamin D; calculated by summation,"Vitamin E, alpha-tocopherol equivalents",Vitamin K,Water,Zeaxanthin,Zinc
Animal,Beef,Beef blade ,2.042333333,1,M1071,M,"Beef, forequarter brisket point end, separable lean, braised","Beef, forequarter brisket point end, separable lean, braised",1675.68,0,0.85,2118.31,2560.94,0,0,0,0,0,0,0,0,0,6.05,0,0.17,95.3,0,0,0.11,379.4,0,6.46,0,41.36,90.9,201.52,201.52,847.65,847.65,0,7.05,0.073,0.031,0.046,0.004,0.14,5.671,0.083,2.976,0.435,0.157,2.259,0.146,0,0,0,0,6.46,6.46,0,0,0,0,4505.36,1912.8,0,932.69,0,0.88,2.78,1264.66,0,0,0,2371.24,0,0,0,2466.09,19.61,0,0,0,12.6,0,964.31,0,0,5.37,8.86,3.49,0,5.52,6.25,0,0,0,1233.05,167.12,0,0,0,0,178.04,1169.81,34.51,101.03,0,12.32,0.12,0,5.33,1106.58,0,29.98,0,0,0,0,0,0,0,0,94.85,0.02,1122.39,0,0,0,0,316.17,1059.16,1343.71,0,12.32,12.32,1.18,0.2,0,0.17,0.85,0,58.64,0,5.16
Animal,Beef,Beef blade ,2.042333333,1,M1046,M,"Beef, forequarter brisket point end, separable lean, raw","Beef, forequarter brisket point end, separable lean, raw",1015.91,0,0.48,1284.27,1552.62,0,0,0,0,0,0,0,0,0,3.75,0,0.12,53.5,0,0,0.1,230.02,0,5.57,0,26.25,93,125.27,125.27,526.63,526.63,0,4.62,0.047,0.017,0.028,0.002,0.085,4.218,0.049,2.279,0.265,0.096,1.675,0.106,0,0,0,0,5.57,5.57,0,0,0,0,2731.46,1159.67,0,565.46,0,1.87,2.06,766.73,0,0,0,1437.61,0,0,0,1495.12,21.38,0,0,0,10.7,0,584.63,0,0,3.26,7.59,4.34,0,3.35,6.25,0,0,0.27,747.56,188.66,0,0,0,0,321.12,709.22,20.92,100.25,0,8.5,0.05,0,2.68,670.89,0,50.84,0,0,0,0,0,0,0,0,57.5,0.04,680.47,0,0,0,0,191.68,642.13,814.65,0,8.5,8.5,1.39,0.32,0,0.12,0.48,0,73.75,0,2.66
Animal,Beef,Beef blade ,2.042333333,1,M1173,M,"Beef, forequarter chuck steak, separable lean & fat, braised","Beef, forequarter chuck steak, separable lean & fat, braised",1449.36,0,0.95,1832.21,2215.06,0,0,0,0,0,0,0,0,0,6.78,0,0.18,97,0,0,0.09,328.16,0,5.39,0,42.94,99.4,239.46,239.46,1001.03,1001.03,0,13.34,0.104,0.025,0.042,0.005,0.152,9.988,0.074,4.524,0.465,0.178,5,0.364,0,0,0,0,5.39,5.39,0,0,0,0,3896.86,1654.46,0,806.72,0,1.24,2.57,1093.86,0,0,0,2050.98,0,0,0,2133.02,18.24,0,0,0,9.93,0,834.06,0,0,4.65,6.59,1.95,0,4.78,6.25,0,0,0.02,1066.51,149.44,0,0,0,0,182.67,1011.82,29.85,100.98,0,14.58,0.13,0,2.26,957.12,0,36.47,0,0,0,0,0,0,0,0,82.04,0.03,970.8,0,0,0,0,273.46,916.1,1162.22,0,14.58,14.58,1.83,0.14,0,0.18,0.95,0,57.06,0,7.26
Animal,Beef,Beef blade ,2.042333333,1,M1157,M,"Beef, forequarter chuck steak, separable lean & fat, raw","Beef, forequarter chuck steak, separable lean & fat, raw",929.81,0,0.67,1175.43,1421.04,0,0,0,0,0,0,0,0,0,5.13,0,0.16,64.73,0,0,0.07,210.52,0,5.05,0,30.82,99.3,176.28,176.28,735.36,735.36,0,11.08,0.087,0.016,0.03,0.002,0.111,8.28,0.05,3.539,0.354,0.137,4.387,0.333,0,0,0,0,5.05,5.05,0,0,0,0,2499.97,1061.39,0,517.54,0,0.78,1.91,701.75,0,0,0,1315.77,0,0,0,1368.41,19.02,0,0,0,8.46,0,535.08,0,0,2.98,5.68,2.7,0,3.06,6.25,0,0,0.26,684.2,169.34,0,0,0,0,297.99,649.12,19.15,100.28,0,10.87,0.11,0,1.49,614.03,0,53.38,0,0,0,0,0,0,0,0,52.63,0.05,622.8,0,0,0,0,175.44,587.71,745.61,0,10.87,10.87,2.06,0.18,0,0.16,0.67,0,69.18,0,4.48
Animal,Beef,Beef blade ,2.042333333,1,M1072,M,"Beef, forequarter chuck steak, separable lean, braised","Beef, forequarter chuck steak, separable lean, braised",1557.47,0,0.9,1968.87,2380.28,0,0,0,0,0,0,0,0,0,5.85,0,0.16,98,0,0,0.1,352.63,0,5.94,0,40.32,91,208.31,208.31,874.19,874.19,0,8.89,0.075,0.028,0.039,0.005,0.129,6.476,0.074,3.172,0.383,0.149,2.921,0.152,0,0,0,0,5.94,5.94,0,0,0,0,4187.53,1777.86,0,866.89,0,1.25,2.71,1175.45,0,0,0,2203.96,0,0,0,2292.12,19.14,0,0,0,10.38,0,896.28,0,0,5,7.03,2.03,0,5.13,6.25,0,0,0,1146.06,156.96,0,0,0,0,188.52,1087.29,32.08,101.42,0,12.16,0.14,0,2.08,1028.52,0,37.62,0,0,0,0,0,0,0,0,88.16,0.03,1043.21,0,0,0,0,293.86,984.44,1248.91,0,12.16,12.16,1.97,0.15,0,0.16,0.9,0,59.68,0,7.81
Animal,Beef,Beef blade ,2.042333333,1,M1047,M,"Beef, forequarter chuck steak, separable lean, raw","Beef, forequarter chuck steak, separable lean, raw",993.2,0,0.63,1255.55,1517.91,0,0,0,0,0,0,0,0,0,4.49,0,0.15,60.5,0,0,0.08,224.88,0,5.6,0,26.5,90.5,130.54,130.54,548.03,548.03,0,5.41,0.048,0.017,0.026,0.003,0.082,4.018,0.048,1.997,0.249,0.096,1.773,0.096,0,0,0,0,5.6,5.6,0,0,0,0,2670.4,1133.75,0,552.82,0,0.67,2.04,749.58,0,0,0,1405.47,0,0,0,1461.69,20.33,0,0,0,9.14,0,571.56,0,0,3.19,6.06,2.88,0,3.27,6.25,0,0,0.27,730.85,180.18,0,0,0,0,314.65,693.37,20.46,100.31,0,8.52,0.12,0,1.34,655.89,0,55.67,0,0,0,0,0,0,0,0,56.22,0.05,665.26,0,0,0,0,187.4,627.78,796.43,0,8.52,8.52,2.26,0.19,0,0.15,0.63,0,73.5,0,4.84
Animal,Beef,Beef blade ,2.042333333,1,M1175,M,"Beef, forequarter oyster blade, separable lean & fat, braised","Beef, forequarter oyster blade, separable lean & fat, braised",1386.89,0,0.8,1753.35,2121.8,0,0,0,0,0,0,0,0,0,5.41,0,0.24,85.51,0,0,0.09,315.27,0,5.58,0,40.35,100,226.63,226.63,947.54,947.54,0,12.51,0.099,0.02,0.035,0.004,0.133,9.305,0.062,4.317,0.427,0.161,4.561,0.338,0,0,0,0,5.58,5.58,0,0,0,0,3729.24,1579.14,0,777.53,0,0.69,2.64,1048.55,0,0,0,1964.25,0,0,0,2042.67,16.08,0,0,0,10.23,0,802.41,0,0,4.46,6.08,1.62,0,4.56,6.25,0,0,0,1020.97,139.44,0,0,0,0,149.97,964.92,28.51,101.29,0,13.69,0.14,0,2.01,916.24,0,24.92,0,0,0,0,0,0,0,0,75.4,0.03,930.21,0,0,0,0,262.09,877.4,1114.07,0,13.69,13.69,1.77,0.1,0,0.24,0.8,0,59.65,0,5
Animal,Beef,Beef blade ,2.042333333,1,M1159,M,"Beef, forequarter oyster blade, separable lean & fat, raw","Beef, forequarter oyster blade, separable lean & fat, raw",1033.22,0,0.42,1306.26,1581.21,0,0,0,0,0,0,0,0,0,4.49,0,0.18,56.36,0,0,0.06,235.15,0,5.72,0,30.63,100,179,179,747.68,747.68,0,10.45,0.079,0.015,0.024,0.012,0.107,7.851,0.052,3.623,0.331,0.131,3.897,0.258,0,0,0,0,5.72,5.72,0,0,0,0,2778.32,1175.57,0,580.48,0,0.91,1.88,781.56,0,0,0,1463.72,0,0,0,1522.11,17.52,0,0,0,7.78,0,598.73,0,0,3.32,5.61,2.29,0,3.4,6.25,0,0,0.83,760.71,153.08,0,0,0,0,287.6,718.13,21.23,101.92,0,14.33,0.12,0,2.01,682.68,0,57.31,0,0,0,0,0,0,0,0,56.73,0.06,693.28,0,0,0,0,195.35,653.82,830.4,0,14.33,14.33,2.24,0.15,0,0.18,0.42,0,69.37,0,4.45
Animal,Beef,Beef blade ,2.042333333,1,M1074,M,"Beef, forequarter oyster blade, separable lean, braised","Beef, forequarter oyster blade, separable lean, braised",1450.3,0,0.76,1833.4,2216.49,0,0,0,0,0,0,0,0,0,4.71,0,0.24,86.9,0,0,0.09,328.37,0,5.92,0,37.62,94.2,195.6,195.6,820.71,820.71,0,8.46,0.074,0.021,0.035,0.004,0.115,6.323,0.063,3.022,0.348,0.138,2.952,0.15,0,0,0,0,5.92,5.92,0,0,0,0,3899.38,1655.53,0,807.24,0,0.61,2.78,1094.56,0,0,0,2052.31,0,0,0,2134.4,16.66,0,0,0,10.72,0,834.61,0,0,4.65,6.3,1.65,0,4.78,6.25,0,0,0,1067.2,143.99,0,0,0,0,151.26,1012.47,29.87,101.34,0,10.51,0.15,0,2,957.74,0,24.93,0,0,0,0,0,0,0,0,82.09,0.02,971.43,0,0,0,0,273.64,916.7,1162.97,0,10.51,10.51,1.86,0.1,0,0.24,0.76,0,62.38,0,5.28
Animal,Beef,Beef blade ,2.042333333,1,M1049,M,"Beef, forequarter oyster blade, separable lean, raw","Beef, forequarter oyster blade, separable lean, raw",1060.09,0,0.38,1340.11,1620.13,0,0,0,0,0,0,0,0,0,3.77,0,0.18,55.9,0,0,0.06,240.02,0,5.99,0,28.32,95.7,155.41,155.41,651.02,651.02,0,7.56,0.059,0.016,0.024,0.013,0.091,5.506,0.053,2.648,0.269,0.112,2.589,0.113,0,0,0,0,5.99,5.99,0,0,0,0,2850.23,1210.1,0,590.05,0,0.81,1.95,800.07,0,0,0,1500.12,0,0,0,1560.13,18.11,0,0,0,8.06,0,610.05,0,0,3.4,5.76,2.36,0,3.49,6.25,0,0,0.86,780.06,157.82,0,0,0,0,296.63,740.06,21.83,101.97,0,12.21,0.12,0,2.02,700.06,0,58.75,0,0,0,0,0,0,0,0,60,0.05,710.06,0,0,0,0,200.02,670.05,850.07,0,12.21,12.21,2.33,0.16,0,0.18,0.38,0,71.68,0,4.64
