category,name,ingredient_direction,quantity,unit,ingredient,note
The Unforgettables,Porto Flip,45 ml Red Tawny Port Wine,45,ml,Red Tawny Port Wine,
The Unforgettables,Porto Flip,10 ml Egg Yolk,10,ml,Egg Yolk,
The Unforgettables,Ramos Fizz,45 ml Gin,45,ml,Gin,
The Unforgettables,Ramos Fizz,15 ml Fresh Lime Juice,15,ml,Fresh Lime Juice,
The Unforgettables,Ramos Fizz,15 ml Fresh Lemon Juice,15,ml,Fresh Lemon Juice,
The Unforgettables,Ramos Fizz,30 ml Sugar Syrup,30,ml,Sugar Syrup,
The Unforgettables,Ramos Fizz,60 ml Cream,60,ml,Cream,
The Unforgettables,Ramos Fizz,30 ml Egg white,30,ml,Egg white,
The Unforgettables,Ramos Fizz,3 Dashes Orange Flower Water,3,dash,Orange Flower Water,
The Unforgettables,Ramos Fizz,2 Drops Vanilla Extract,2,drops,Vanilla Extract,
The Unforgettables,Ramos Fizz,Soda Water,1,top up,Soda Water,
The Unforgettables,Rusty Nail,45 ml Scotch Whisky,45,ml,Scotch Whisky,
The Unforgettables,Rusty Nail,25 ml Drambuie,25,ml,Drambuie,
The Unforgettables,Sazerac,50 ml Cognac,50,ml,Cognac,
The Unforgettables,Sazerac,10 ml Absinthe,10,ml,Absinthe,
The Unforgettables,Sazerac,1 Sugar Cube,1,piece,Sugar Cube,
The Unforgettables,Sazerac,2 Dashes Peychaud's Bitters,2,dash,Peychaud's Bitters,
The Unforgettables,Sidecar,50 ml Cognac,50,ml,Cognac,
The Unforgettables,Sidecar,20 ml Triple Sec,20,ml,Triple Sec,
The Unforgettables,Sidecar,20 ml Fresh Lemon Juice,20,ml,Fresh Lemon Juice,
The Unforgettables,Stinger,50 ml Cognac,50,ml,Cognac,
The Unforgettables,Stinger,20 ml White Crème de Menthe,20,ml,White Crème de Menthe,
The Unforgettables,Tuxedo,30 ml Old Tom Gin,30,ml,Old Tom Gin,
The Unforgettables,Tuxedo,30 ml Dry Vermouth,30,ml,Dry Vermouth,
The Unforgettables,Tuxedo,1/2 Bar Spoon Maraschino Luxardo,1/2,bar spoon,Maraschino Luxardo,
The Unforgettables,Tuxedo,1/4 Bar Spoon of Absinthe,1/4,bar spoon,Absinthe,
The Unforgettables,Tuxedo,3 Dashes Orange Bitters,3,dash,Orange Bitters,
The Unforgettables,Vieux Carrè,30 ml Rye Whiskey,30,ml,Rye Whiskey,
The Unforgettables,Vieux Carrè,30 ml Cognac,30,ml,Cognac,
The Unforgettables,Vieux Carrè,30 ml Sweet Vermouth,30,ml,Sweet Vermouth,
The Unforgettables,Vieux Carrè,1 Bar Spoon Bénédictine,1,bar spoon,Bénédictine,
The Unforgettables,Vieux Carrè,2 Dashes Peychaud's Bitters,2,dash,Peychaud's Bitters,
The Unforgettables,Whiskey Sour,45 ml Bourbon Whiskey,45,ml,Bourbon Whiskey,
The Unforgettables,Whiskey Sour,25 ml Fresh Lemon Juice,25,ml,Fresh Lemon Juice,
The Unforgettables,Whiskey Sour,20 ml Sugar Syrup,20,ml,Sugar Syrup,
The Unforgettables,Whiskey Sour,20 ml Egg White (Optional),20,ml,Egg White,Optional
The Unforgettables,White Lady,40 ml Gin,40,ml,Gin,
The Unforgettables,White Lady,30 ml Triple Sec,30,ml,Triple Sec,
The Unforgettables,White Lady,20 ml Fresh Lemon Juice,20,ml,Fresh Lemon Juice,
