category,name,ingredient_direction,quantity,unit,ingredient,note
Contemporary Classics,French 75,15 ml Sugar Syrup,15,ml,Sugar Syrup,
Contemporary Classics,French 75,60 ml Champagne,60,ml,Champagne,
Contemporary Classics,French Connection,35 ml Cognac,35,ml,Cognac,
Contemporary Classics,French Connection,35 ml Amaretto,35,ml,Amaretto,
Contemporary Classics,Golden Dream,20 ml Galliano,20,ml,Galliano,
Contemporary Classics,Golden Dream,20 ml Triple Sec,20,ml,Triple Sec,
Contemporary Classics,Golden Dream,20 ml Fresh Orange Juice,20,ml,Fresh Orange Juice,
Contemporary Classics,Golden Dream,10 ml Fresh Cream,10,ml,Fresh Cream,
Contemporary Classics,Grasshopper,20 ml Crème de Cacao (White),20,ml,Crème de Cacao,White
Contemporary Classics,Grasshopper,20 ml Crème de Menthe (Green),20,ml,Crème de Menthe,Green
Contemporary Classics,Grasshopper,20 ml Fresh Cream,20,ml,Fresh Cream,
Contemporary Classics,Hemingway Special,60 ml Rum,60,ml,Rum,
Contemporary Classics,Hemingway Special,40 ml Grapefruit Juice,40,ml,Grapefruit Juice,
Contemporary Classics,Hemingway Special,15 ml Maraschino Luxardo,15,ml,Maraschino Luxardo,
Contemporary Classics,Hemingway Special,15 ml Fresh Lime,15,ml,Fresh Lime,
Contemporary Classics,Horse's Neck,40 ml Cognac,40,ml,Cognac,
Contemporary Classics,Horse's Neck,120 ml Ginger Ale,120,ml,Ginger Ale,
Contemporary Classics,Horse's Neck,Dash of Angostura Bitters (optional),1,dash,Angostura Bitters,optional
Contemporary Classics,Irish Coffee,50 ml Irish Whiskey,50,ml,Irish Whiskey,
Contemporary Classics,Irish Coffee,120 ml Hot coffee,120,ml,Hot coffee,
Contemporary Classics,Irish Coffee,50 ml Fresh cream (Chilled),50,ml,Fresh cream,Chilled
Contemporary Classics,Irish Coffee,1 teaspoon Sugar,1,teaspoon,Sugar,
Contemporary Classics,KIR,90 ml Dry White Wine,90,ml,Dry White Wine,
Contemporary Classics,KIR,10 ml Crème de Cassis,10,ml,Crème de Cassis,
Contemporary Classics,Long Island Ice Tea,15 ml Vodka,15,ml,Vodka,
Contemporary Classics,Long Island Ice Tea,15 ml Tequila,15,ml,Tequila,
Contemporary Classics,Long Island Ice Tea,15 ml White rum,15,ml,White rum,
Contemporary Classics,Long Island Ice Tea,15 ml Gin,15,ml,Gin,
Contemporary Classics,Long Island Ice Tea,15 ml Cointreau,15,ml,Cointreau,
Contemporary Classics,Long Island Ice Tea,30 ml Lemon juice,30,ml,Lemon juice,
Contemporary Classics,Long Island Ice Tea,20 ml Simple syrup,20,ml,Simple syrup,
Contemporary Classics,Long Island Ice Tea,Top with Cola,1,top up,Cola,
Contemporary Classics,Mai-Tai,30 ml Amber Jamaican Rum,30,ml,Amber Jamaican Rum,
Contemporary Classics,Mai-Tai,30 ml Martinique Molasses Rhum,30,ml,Martinique Molasses Rhum,
Contemporary Classics,Mai-Tai,15 ml Orange Curacao,15,ml,Orange Curacao,
Contemporary Classics,Mai-Tai,15 ml Orgeat Syrup (Almond),15,ml,Orgeat Syrup,Almond
Contemporary Classics,Mai-Tai,30 ml Fresh Lime Juice,30,ml,Fresh Lime Juice,
Contemporary Classics,Mai-Tai,7.5 ml Simple Syrup,7.5,ml,Simple Syrup,
Contemporary Classics,Margarita,50 ml Tequila 100% Agave,50,ml,Tequila 100% Agave,
Contemporary Classics,Margarita,20 ml Triple Sec,20,ml,Triple Sec,
